,precision,recall,f1-score,support
Benign,0.6875,1.0,0.8148148148148148,22.0
Malicious,1.0,0.6296296296296297,0.7727272727272727,27.0
accuracy,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388
macro avg,0.84375,0.8148148148148149,0.7937710437710437,49.0
weighted avg,0.8596938775510204,0.7959183673469388,0.7916237201951486,49.0
