,precision,recall,f1-score,support
Benign,0.8461538461538461,1.0,0.9166666666666666,22.0
Malicious,1.0,0.8518518518518519,0.92,27.0
accuracy,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9183673469387755
macro avg,0.9230769230769231,0.9259259259259259,0.9183333333333333,49.0
weighted avg,0.9309262166405023,0.9183673469387755,0.9185034013605441,49.0
