,precision,recall,f1-score,support
Benign,0.5,1.0,0.6666666666666666,22.0
Malicious,1.0,0.18518518518518517,0.3125,27.0
accuracy,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.5510204081632653
macro avg,0.75,0.5925925925925926,0.4895833333333333,49.0
weighted avg,0.7755102040816326,0.5510204081632653,0.4715136054421768,49.0
